Tags,GO ID,GO Name,GO Category,Size,ES,NES,Nominal p-val,FDR q-val,FWER p-val,Rank at Max,Leading Edge
"[TOP, DETAILS]",GO:0002221,pattern recognition receptor signaling pathway,BIOLOGICAL_PROCESS,30,0.39446038,2.4642236,0.001980198,0.14499329,0.12,114,"tags=67%, list=30%, signal=88%"
"[TOP, DETAILS]",GO:0002758,innate immune response-activating signal transduction,BIOLOGICAL_PROCESS,31,0.37217277,2.3735256,0,0.16406244,0.256,114,"tags=65%, list=30%, signal=85%"
"[TOP, DETAILS]",GO:0002833,positive regulation of response to biotic stimulus,BIOLOGICAL_PROCESS,36,0.34135082,2.3181527,0,0.17862542,0.371,103,"tags=58%, list=27%, signal=72%"
"[TOP, DETAILS]",GO:0002757,immune response-activating signal transduction,BIOLOGICAL_PROCESS,36,0.33997408,2.3129752,0,0.14070703,0.391,114,"tags=61%, list=30%, signal=79%"
"[TOP, DETAILS]",GO:0045089,positive regulation of innate immune response,BIOLOGICAL_PROCESS,32,0.35122478,2.286457,0,0.14477058,0.474,114,"tags=63%, list=30%, signal=82%"
"[TOP, DETAILS]",GO:0050829,defense response to Gram-negative bacterium,BIOLOGICAL_PROCESS,26,0.38679454,2.28537,0,0.12142446,0.477,154,"tags=77%, list=41%, signal=121%"
"[TOP, DETAILS]",GO:0051402,neuron apoptotic process,BIOLOGICAL_PROCESS,8,0.66374665,2.2621193,0,0.12528048,0.531,37,"tags=75%, list=10%, signal=81%"
"[TOP, DETAILS]",GO:0002218,activation of innate immune response,BIOLOGICAL_PROCESS,32,0.35122478,2.224005,0,0.15185256,0.639,114,"tags=63%, list=30%, signal=82%"
"[TOP, DETAILS]",GO:2000027,regulation of animal organ morphogenesis,BIOLOGICAL_PROCESS,16,0.46453166,2.1813953,0.001988072,0.18576647,0.77,162,"tags=88%, list=43%, signal=146%"
"[TOP, DETAILS]",GO:0050777,negative regulation of immune response,BIOLOGICAL_PROCESS,8,0.6172507,2.1577637,0.004175365,0.20294963,0.836,149,"tags=100%, list=39%, signal=161%"
"[TOP, DETAILS]",GO:0042052,rhabdomere development,BIOLOGICAL_PROCESS,5,0.76256686,2.1478689,0.005870841,0.19894822,0.86,17,"tags=80%, list=4%, signal=83%"
"[TOP, DETAILS]",GO:0046579,positive regulation of Ras protein signal transduction,BIOLOGICAL_PROCESS,4,0.84,2.1241274,0,0.22200787,0.913,63,"tags=100%, list=17%, signal=119%"
"[TOP, DETAILS]",GO:0002224,toll-like receptor signaling pathway,BIOLOGICAL_PROCESS,20,0.40487465,2.1140418,0,0.22304693,0.929,100,"tags=65%, list=26%, signal=84%"
"[TOP, DETAILS]",GO:0045824,negative regulation of innate immune response,BIOLOGICAL_PROCESS,8,0.6172507,2.09596,0,0.2389061,0.959,149,"tags=100%, list=39%, signal=161%"
"[TOP, DETAILS]",GO:0007602,phototransduction,BIOLOGICAL_PROCESS,22,0.38731858,2.0921025,0.003960396,0.2292214,0.964,33,"tags=45%, list=9%, signal=47%"
"[TOP, DETAILS]",GO:0031341,regulation of cell killing,BIOLOGICAL_PROCESS,8,0.6172507,2.0884652,0.004192872,0.2208119,0.966,149,"tags=100%, list=39%, signal=161%"
"[TOP, DETAILS]",GO:0030431,sleep,BIOLOGICAL_PROCESS,7,0.64247316,2.0829835,0.00203252,0.21814737,0.969,139,"tags=100%, list=37%, signal=155%"
"[TOP, DETAILS]",GO:0032092,positive regulation of protein binding,BIOLOGICAL_PROCESS,17,0.43711406,2.077378,0.006276151,0.21486253,0.973,86,"tags=65%, list=23%, signal=80%"
"[TOP, DETAILS]",GO:0071466,cellular response to xenobiotic stimulus,BIOLOGICAL_PROCESS,31,0.32461992,2.0773606,0.003868472,0.20361601,0.973,155,"tags=71%, list=41%, signal=110%"
"[TOP, DETAILS]",GO:0031398,positive regulation of protein ubiquitination,BIOLOGICAL_PROCESS,3,0.91755325,2.073709,0.00422833,0.19864601,0.974,33,"tags=100%, list=9%, signal=109%"
"[TOP, DETAILS]",GO:0046689,response to mercury ion,BIOLOGICAL_PROCESS,5,0.7566845,2.067465,0.002024292,0.1979779,0.977,95,"tags=100%, list=25%, signal=132%"
"[TOP, DETAILS]",GO:0050953,sensory perception of light stimulus,BIOLOGICAL_PROCESS,41,0.28070426,2.0556555,0.001956947,0.20746338,0.983,89,"tags=49%, list=23%, signal=57%"
"[TOP, DETAILS]",GO:0032088,negative regulation of NF-kappaB transcription factor activity,BIOLOGICAL_PROCESS,3,0.9202128,2.0456748,0,0.21388333,0.988,32,"tags=100%, list=8%, signal=108%"
"[TOP, DETAILS]",GO:0051099,positive regulation of binding,BIOLOGICAL_PROCESS,18,0.40058482,2.0419948,0.006237006,0.21022204,0.99,86,"tags=61%, list=23%, signal=75%"
"[TOP, DETAILS]",GO:0035025,positive regulation of Rho protein signal transduction,BIOLOGICAL_PROCESS,3,0.9202128,2.040299,0,0.20470618,0.99,32,"tags=100%, list=8%, signal=108%"
"[TOP, DETAILS]",GO:1905330,regulation of morphogenesis of an epithelium,BIOLOGICAL_PROCESS,8,0.58221024,2.031242,0.003802281,0.21174979,0.994,162,"tags=100%, list=43%, signal=171%"
"[TOP, DETAILS]",GO:0002697,regulation of immune effector process,BIOLOGICAL_PROCESS,34,0.3029838,2.0230036,0,0.21568209,0.996,162,"tags=71%, list=43%, signal=112%"
"[TOP, DETAILS]",GO:0002706,regulation of lymphocyte mediated immunity,BIOLOGICAL_PROCESS,7,0.61559147,2.0229468,0.001992032,0.20810515,0.996,149,"tags=100%, list=39%, signal=162%"
"[TOP, DETAILS]",GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,BIOLOGICAL_PROCESS,9,0.55345345,2.0205126,0.005639098,0.20487894,0.997,89,"tags=78%, list=23%, signal=99%"
"[TOP, DETAILS]",GO:0043153,entrainment of circadian clock by photoperiod,BIOLOGICAL_PROCESS,5,0.7197861,2.0201886,0.004065041,0.19851671,0.997,33,"tags=80%, list=9%, signal=86%"
"[TOP, DETAILS]",GO:0048844,artery morphogenesis,BIOLOGICAL_PROCESS,5,0.7139037,2.018872,0.002066116,0.19464235,0.998,111,"tags=100%, list=29%, signal=140%"
"[TOP, DETAILS]",GO:0009253,peptidoglycan catabolic process,BIOLOGICAL_PROCESS,7,0.6209678,2.005219,0,0.20809336,0.998,147,"tags=100%, list=39%, signal=160%"
"[TOP, DETAILS]",GO:2001013,epithelial cell proliferation involved in renal tubule morphogenesis,BIOLOGICAL_PROCESS,6,0.6702413,2.004512,0.006276151,0.2028162,0.998,128,"tags=100%, list=34%, signal=149%"
"[TOP, DETAILS]",GO:0006898,receptor-mediated endocytosis,BIOLOGICAL_PROCESS,26,0.33656573,2.0041747,0.005769231,0.19747354,0.998,128,"tags=65%, list=34%, signal=92%"
"[TOP, DETAILS]",GO:0043112,receptor metabolic process,BIOLOGICAL_PROCESS,20,0.38259053,1.9983054,0,0.20031568,0.998,108,"tags=65%, list=28%, signal=86%"
"[TOP, DETAILS]",GO:0050730,regulation of peptidyl-tyrosine phosphorylation,BIOLOGICAL_PROCESS,9,0.55345345,1.997741,0.006,0.19549848,0.998,89,"tags=78%, list=23%, signal=99%"
"[TOP, DETAILS]",GO:0043523,regulation of neuron apoptotic process,BIOLOGICAL_PROCESS,7,0.6255761,1.9972444,0.003960396,0.19132118,0.998,37,"tags=71%, list=10%, signal=78%"
"[TOP, DETAILS]",GO:1903391,regulation of adherens junction organization,BIOLOGICAL_PROCESS,3,0.8803192,1.9812546,0,0.20864576,0.998,47,"tags=100%, list=12%, signal=113%"
"[TOP, DETAILS]",GO:0006026,aminoglycan catabolic process,BIOLOGICAL_PROCESS,8,0.57951486,1.9801754,0,0.20509559,0.998,163,"tags=100%, list=43%, signal=172%"
"[TOP, DETAILS]",GO:2000725,regulation of cardiac muscle cell differentiation,BIOLOGICAL_PROCESS,3,0.8803192,1.9791505,0.004024145,0.20136997,0.998,47,"tags=100%, list=12%, signal=113%"
"[TOP, DETAILS]",GO:2000727,positive regulation of cardiac muscle cell differentiation,BIOLOGICAL_PROCESS,3,0.8803192,1.9626,0.004056795,0.22005756,0.998,47,"tags=100%, list=12%, signal=113%"
"[TOP, DETAILS]",GO:0043433,negative regulation of DNA-binding transcription factor activity,BIOLOGICAL_PROCESS,5,0.7171123,1.9611471,0.004123712,0.21741284,0.998,34,"tags=80%, list=9%, signal=87%"
